video_id,comments
l69qgBkhHTE,"['Ene haluun chinjuunihee toog n bagasgaad tged yag yun der idhu gedge sain bddog bolgowol iluu goy ym bishu tged ihenh asuultand n bas ideed baiwal mea l ym chinjuu n duuswal tgedl nairagui hariulah ch gedimu', 'Yaaj ingej salchaad uulzdag bainaa endees butsaad niilsen hvn bdg l bhaa te hha', 'Cringe', '19tein bj ymr ydrgaatai tom yritainbe', 'HAHAHA BEST CHINESE CONTENT REALLY FUNNY', 'salsan ni ch boljde 😂', 'ter shar ustei guy Ebotoi adilhan ymbe', 'Painful to watch 🤦🏻\u200d♀️', 'ehni hosin shar usted n goydtsn dragin hosin egcid n goydtsn bnda hha', 'iim ym gj yu bsin']"
MD1h7Lfmyn8,"['Ymr medertsen ats ve haha', 'Ene sda ub comedy hiigeed bsn sda bn shde....zugeer zaya geshshsh batzaya gesn hulduu sda😂😂', 'Zaya cin balaim bn', 'Zaya l turuulj darsan bnda ksh ahha', 'Тэнэг хүн гаднаа хэзээ ч тэнэг юм шиг харагддаггүй ээ гэдэг шиг. Синглэ байжийхдаа таарсан гөлөг бн шдэ😂', 'zaya chihshg ner n hurtel girly ym be bur uurigo ih ymnd bodtsn gachin batsaan setgehuitei ym be 22 toi ch mundag tuluvshtsun zaluuchud zndu bga', 'Эхний шалчига залуугийн эрхтэн хуруушигээ нарийхан богинохон дээрээс нь шалчийсан юм байгаа даа. Азгүй амьтан 😅', 'Wahhahah Zaya onigoo ymbeee😂😂😂😂', 'Ehnii zaluu Aimr insecure blhoro button darah blmjtoi blnguut l reject hiilgehees aigd shuud2 daraad bgn bishu', 'suuliin 2 yamar huurhun yum be💛💛💛']"
5jbGn5g7F8Y,"['Zayaagaar huchirhiilehee bolino uu?', 'Xxaaa ehnii emegtei oro hogshin um bishv yria muutai geshh🤣', 'Ene angliar yridag ah nmg hvleegeerei ubbaaa❤', '10аас уу? гэшшшшш Дараа нь БИ гэшшшшш айлын эрх хүү 😂', 'Ugaasaa suuliin 2 l huurhun bgad bsi🙆\u200d♀️', 'Nudnii shiltei zaluu ymr medremjgui ym be hha', 'enend hvmvs odoo mongo ogj ordog ymu? arai vgvi bzde😮', 'Enhnii Zaya n odo yu ve? Iim l zaluutai suuchihku yumsan gj bdj uzlee ahhaha', 'Ter nudnii shilte zaluu hacin sangdaad bnaa .1 tiim evgu.', 'zurgand itgeltgum bnshu 😂']"
oPKuTgWG4ss,"['goy bichleg baina❤', 'Ehnii ohin shig nztai blhiinsn hha', 'чаос эрчүүд нь гамшиг юмаа', 'goy ustei ohinii ig ntr bnu hhe', 'Ehnii ohin yostoi huurhun bna❤ Hugjiltei ingedeg ni🥰', 'Uulgjaga suuniihe aygig soliogue', 'ep 11 uzyyeee', 'Daraagiin angi uzy', 'Хамгийн сүүлийн эгчийн тэр үсний style юу гэдэг юм бол', 'Ehnii egch sogtuu baisimu gsh']"
nbT_FDmkTPg,"['Uuje yaasan huurhiin\U0001f979❤️', 'yamar huuhun 2 we uhtlee ineelee', 'hamt honsnoos hosh gne uu', 'Ene 2 iin igiig ogooch❤', 'Ymar huurhiin ❤', '7:15 😂', 'Uzehqu bsimmm', 'Yooooooooooooo', 'Hair2❤️', 'so so so cutie couple']"
hTnGnvP-nvU,"['aaa ymr huurhinbeee😭😭❤️❤️❤️❤️❤️❤️❤️💗💗', 'Ene hedh ep we', 'amlltnda hvrsngve', 'Царайлаг хөөрхөн хосууд гарах нь ээ. Амжилт хүсьеээ бүр догдолчихлоо байна кк. Буцаад 20 насандаа очих юмсан...', '10:10 10:24 hurtel ywj baiga song name ??', 'yio ene contentd orj cdkugees xoish shuud chatlcx oxn bnu setgel n niild uyrcx um bl uu ahhah', 'Хэлээ хазаад байхын эр нь сда чинь. Албаар хазаад байгаа нь мэдэгдээ шаагаад. Зүгээр өөрийнхөөрөө ярьчихад юу нь болдоггүй юм бол сда', 'Манай хоёр гоё хосууд болох байхаа 💗❤💗❤', 'Yaj orh we shalgur yu we ?', 'Huurhiinbee jinhen hos boloooroi 🐥🐥']"
OEWt2wEB6LI,"['#Хэд юм бэ ? нэг ч болов хүн зөв хараад хэд юм бэ гэдэг үгийг зөвөөр нь бичдэг болоосой гэсэндээ хэллээ', 'Хөөрхөншдээ манай Золоо эгч 🤩', 'Suuliin ulaan plajtai egch bol aimr shaajiinoo zadgai setgen gdg l ene bhda', 'Yaaaj bodood iim aimar ulaan ongotei plaj deer ni gerel ni yuchiwde bvr 1,5m 🤦🏻\u200d♀️🤦🏻\u200d♀️🤦🏻\u200d♀️', 'Last one Хайран 1,5м төгрөгөөр юун улаан, юун гэрэл … 🤦🏼\u200d♀️🤦🏼\u200d♀️🤦🏼\u200d♀️', 'Энэ удаагийн дугаар таалагдлаа. Ариун цагаан хөдөлмөрөөрөө ажиллаж амьдарч байгаа энгийн сайхан хөөрхөн бүсгүйчүүд байна. Урлагийнхний орсон дугааруудыг үзэхээр нүд орой дээр гартал үнэ хэлээд байдаг. Худалдагдаад тийм тансаг хэрэглээтэй байдгийг нь сүүлийн үед л олж мэдлээ хэхэ', 'Vschingiin bayr deer vsee haana zasuulsan be geed balaaraad bhin psdachin', 'Ene hen asuugad shgd bgnbe yajc asugd bgn', 'Salonii ezduud shine jileer nzuda geriihnee uuruu hed2 irj buduulna zasuulna tgd ajilchidaaraa unegui hiilguuldeg, ted nar chn ajlaa hiisneree 40huwilaj tsalinjdag uls shde. Ternii orond uur uilchluilegch awaad tsalingaa awsn bol nemertei bhguyu', 'saihan engin saihan busguichuud bnoo']"
9Qx1yYg-apA,"['Eregtei nzud emegtei nzudiig boond n oruulaad 2n suunguut davhar nzuudinh n reaction g haruulval yg goy boloh geed bna hha', 'Vlog hiij ehelj bgaa orood sonirhooroi 😊 bayarlalaa', 'M', 'ria tsend hoyr yg l tohiroh ym shig bnda hhah', '4 deh zalu bvrr air medremjgv ene egchig brg zodlo2 ahh', 'Uka gedesee tataach egchee hh', 'Ria deer button darsan zaluu yg hulduu tums', 'ria ene egc unn tsarailg ymaa dereesn aimr erx ymaa durlahne', 'Ria chin harin umnud asian tsaraitain bishuu?', 'Haha Ria gj ohin ni ali ymbe baahn uhraaj uzlee ymrch tiim nertei ohin alga ta nar suns hartsiim bishu😂😂😂']"
twMeAqEJUTk,"['ahhahahahahhahahahahahahahahhahahahahaa', 'Hichneen sandarsanch ehni zaluu shig ingej dvpereed bvl yooy ywahg bha.harin ohin n te1 vildlig n zasaad bhin.', 'Ehnii bvsgvi ugaasaa mundag bvsgvi bn aa. Yria medremj tsarai zes ch gaigvi h😂 hvleej baigaad darahgvi bolhoor ni match bolohgvi geed darj bn', 'Ehnii egch ymrrrr hrhn ymbeee uuriihuru bur ng cute❤❤❤', 'ene tendhiin nevtruuleg hesegchidtei bolson bna', 'Suuliin hoyr yun huurhiin', 'Manai tiktok hiideg boomerangiin egch bnshd', 'Nomuundari ymar zevuumbee zlacheeeee', 'soymboo hogshoo odoo bolioo bnga l iimerhuu nevtruulegt  orj bhiin  hun amitan toodgui yum uu ? 😂😂', '19:10 uhhh']"
R6SsPEvQ3Zc,"['Helgui ygaan ustei golg cin oortoo goydsn hairn shn ohiduudiig', '92 sooooooooooooo baaad', '92 got rizz from ohio💀', '92 hud sda bn', '7:48 emegteige hundled ydj tseh suuldaa bas togdwortoi suuchihgui yum t1 yumuu chi bur aimr soylgu cringe  haragdjiin', '18:00 ohh noooo cringeeeee', 'boroond duu sonsjiij tgd tsahilgaand tsohiulj uhew hahah', 'ene 92 oos bolood ohiduud aygu zuzaan huwtsasldg bolh bhio', 'ongotsnii us zoogch nar zunduu bnshd ene dugaart hahah', 'enherdene egchee usaa sain zuuguuree hha']"
4vW9Y-hUIOE,"['ммдада Ундармаа эгч маань хайр жүү өө бишээ Асури гүнж маань', 'ehni 2 huurhuun hahah', 'Yeoy zawaan2 shijgin ymnud oruulchhin', 'Zaluuchudn yg ygd c bgn ahahahahah gcn dugaar bno', 'Exnii Zesen gd egc air xoorxnshd mne xamatni tsarelg egc mni emgte crush ksho', 'ohin  nairj suraa chee fuck', 'sexy oxiduuud bnada', 'arai2 yuch asuudaan', 'wff', 'Trans bankind ajilldg ohinii instag heleed ogg']"
U37wxqzE_qc,"['Ezii', 'zaza gal3 hahha\\', 'hodoodond muu shuude ugna', 'Ёооё тэр хувиралгүй, угсруулаад идээд байгаа залуу 🙊☠️😵', 'Порно нь үзсэн хүн 13анги', 'eniige zarhu haha', 'Сүү уугаасай ус уувал бүүр аймар болдог', 'Smok iin toloo bol tesishde haha']"
